Mês,Evento,Categoria
Fevereiro,"5 de fevereiro — Pervez Musharraf, 10.º presidente do Paquistão, morre aos 79 anos.",Falecimentos e Nascimentos
Fevereiro,"8 de fevereiro — LeBron James supera Kareem Abdul-Jabbar, tornando-se o maior cestinha de todos os tempos da NBA.",Esporte
Fevereiro,"11 de fevereiro — Real Madrid é campeão da Copa do Mundo de Clubes da FIFA de 2022, derrotando o Al-Hilal no Estádio Príncipe Moulay Abdellah.",Esporte
Fevereiro,12 de fevereiro — Nikos Christodoulides eleito presidente de Chipre.,Esporte
Fevereiro,"28 de fevereiro — Independiente del Valle sagra-se campeão da Recopa Sul-Americana, após vencer o Flamengo nos pênaltis no Estádio Jornalista Mário Filho.",Esporte
Fevereiro,"3 de fevereiro — Porta-aviões brasileiro NAe São Paulo (A-12), maior navio de guerra do hemisfério sul, é afundado no oceano Atlântico.",Desastres
Fevereiro,6 de fevereiro — Dois sismos na Turquia e Síria causam pelo menos 53 mil mortes e deixam mais de 122 mil feridos.,Desastres
Fevereiro,"15 de fevereiro — Acidente de ônibus em Gualaca, no Panamá, mata pelo menos 39 pessoas e deixa outras 30 feridas.",Desastres
Fevereiro,"19 de fevereiro — Enchentes e deslizamentos no estado de São Paulo, no Brasil, deixam várias cidades em estado de calamidade e 65 mortes.",Desastres
Fevereiro,"26 de fevereiro — Naufrágio na costa da Calábria, Itália, resulta na morte de pelo menos 65 migrantes.",Desastres
Fevereiro,"28 de fevereiro — Acidente ferroviário em Tessália, Grécia, mata pelo menos 40 pessoas e deixa outras 85 feridas.",Desastres
Fevereiro,16 de fevereiro — Incêndios florestais no Chile causam 24 mortes e deixam mais de dois mil feridos.,Ecossistema
Fevereiro,17 de fevereiro — Ciclone Gabrielle causa danos generalizados e inundações na Nova Zelândia.,Ecossistema
Fevereiro,"23 de fevereiro — Sismo de magnitude 6,8 a 7,2 atinge o Tajiquistão e parte da China.",Ecossistema
Fevereiro,1 de fevereiro — Cometa verde C/2022 E3 (ZTF) atinge seu perigeu com a Terra.,Ciência e Tecnologia
Fevereiro,"2 de fevereiro — Bobi, da raça Rafeiro do Alentejo, de Conqueiros, Portugal, é certificado como cão de maior longevidade da história.",Ciência e Tecnologia
Fevereiro,10 de fevereiro — Os EUA abatem um objeto voador não identificado que sobrevoava a costa do Alasca.,Ciência e Tecnologia
Fevereiro,"20 de fevereiro — Em Düsseldorf, Alemanha, é confirmado o terceiro caso de um doente curado do HIV/AIDS após ter sido submetido a um transplante de células estaminais.",Ciência e Tecnologia
Fevereiro,"20 de fevereiro — O presidente dos Estados Unidos, Joe Biden, visita pela primeira vez à Ucrânia após o início da invasão da Ucrânia pela Rússia.",Turismo
Março,"1 de março — Bola Tinubu, do partido governante Congresso de Todos os Progressistas, é eleito presidente da Nigéria.",Política
Março,2 de março — Võ Văn Thưởng assume cargo de presidente do Vietnã.,Política
Março,"5 de março — Nas eleições parlamentares da Estônia, o Partido Reformista, liderado por Kaja Kallas, conquista o maior número de assentos no Riigikogu.",Política
Março,7 de março — Israel destrói parte do aeroporto internacional de Alepo após suspeitas de armazenamento de armamento iraniano.,Política
Março,10 de março — Xi Jinping é reeleito por unanimidade para um terceiro mandato como Presidente da República Popular da China.,Política
Março,14 de março — Facções criminosas orquestram ataques e rebeliões em cidades no Rio Grande do Norte.,Política
Março,"17 de março — O Tribunal Penal Internacional emite um mandado de prisão para o presidente russo, Vladimir Putin, por crimes de guerra cometidos na invasão russa da Ucrânia e no rapto de crianças ucranianas.",Política
Março,30 de março — A Finlândia se torna o trigésimo-primeiro país a aderir a OTAN após a Turquia aprovar a entrada do país na organização.,Política
Março,"10 de março — O Silicon Valley Bank (SVB), principal banco para startups de tecnologia dos Estados Unidos, quebra, na segunda maior falência do setor bancário do país",Economia
Março,"29 de março — O Brasil e a China assinam um acordo para negociar em suas próprias moedas, deixando de usar o dólar americano como intermediário.",Economia
Março,"12 de março — Everything Everywhere All at Once vence sete estatuetas na 95° edição do Oscar, incluindo Melhor Filme.",Arte
Março,"24 de março — No Japão, o último episódio do anime Pokémon com Ash Ketchum e Pikachu como personagens principais é transmitido na TV Tokyo, após 25 temporadas e 26 anos de transmissão, concluindo assim um ciclo importante na história do anime.",Arte
Março,"1 de março — Just Fontaine, maior artilheiro em uma única edição de Copa do Mundo com 13 gols, morre aos 89 anos.",Falecimentos e Nascimentos
Março,21 de março — O Japão derrotou os Estados Unidos no Clássico Mundial de Beisebol e conquistou seu 3° título mundial.,Esporte
Março,"23 de março — A World Athletics, órgão regulador global do atletismo, proíbe mulheres trans que passaram pela puberdade masculina de competir em eventos femininos.",Esporte
Março,29 de março — A Indonésia perde o direito de sediar a Copa do Mundo FIFA Sub-20 de 2023 por não aceitar receber a seleção de Israel como um ato de apoio à Palestina e por relações não amistosas entre os dois países.,Esporte
Março,"9 de março — Tiroteio em salão das Testemunhas de Jeová em Hamburgo, Alemanha, causa a morte de sete pessoas e deixa outras oito feridas em estado crítico.",Desastres
Março,"27 de março — Atentado em colégio cristão em Nashville, nos Estados Unidos, mata seis pessoas. A atiradora, identificada como Audrey Hale, está entre os mortos.",Desastres
Março,28 de março — Brasil atinge a marca de 700 mil mortos pela Covid-19.,Desastres
Março,"28 de março — Incêndio em centro de detenção para imigrantes ilegais na cidade de Ciudad Juárez, no México, mata ao menos 39 pessoas e deixa outras 29 feridas.",Desastres
Março,"2 de março — Ciclone Freddy deixa ao menos 29 mortos em Madagáscar, Moçambique e Zimbábue.",Ecossistema
Março,"25 de março — Tornado registrado no estado do Mississipi, Estados Unidos, mata 25 pessoas.",Ecossistema
Março,"21 de março — O Google lançou o Google Bard, cujo lançamento parece uma resposta para o ChatGPT.",Ciência e Tecnologia
Março,23 de março — Google desativa o aplicativo Google Street View.,Ciência e Tecnologia
Abril,"2 de abril — Em meio a uma onda de insegurança, o Equador declara estado de emergência e o governo equatoriano autoriza a posse e porte de armas para civis para defesa pessoal.",Política
Abril,"15 de abril — Ocorre uma tentativa de golpe de Estado no Sudão, onde paramilitares do país reivindicam o controle do palácio presidencial e do Aeroporto Internacional de Cartum (capital) após tiroteios e explosões em meio ao aumento da rivalidade entre generais que participaram do golpe de Estado de 2021.",Política
