Mês,Evento,Categoria
Maio,11 de maio — A OMS termina a sua declaração de Mpox como uma emergência de saúde global.,Ciência e Tecnologia
Junho,"11 de junho — Honduras abre a sua primeira embaixada em Pequim, na China, depois de ter rompido relações com Taiwan.",Política
Junho,"16 de junho — A Rússia confirma a transferência de um primeiro lote de armas nucleares para a Bielorrússia, no contexto da guerra na Ucrânia.",Política
Junho,"19 de junho — A Assembleia Geral das Nações Unidas adota por unanimidade o Tratado de Alto Mar, o primeiro tratado destinado à conservação marinha em águas internacionais.",Política
Junho,"23 de junho — Rebelião do Grupo Wagner: Membros do Grupo Wagner, uma organização militar privada russa, liderado por Yevgeny Prigozhin, se rebelam contra o governo de Vladimir Putin após um ataque aéreo às suas bases na Ucrânia. Os mercenários iniciam uma marcha armada em direção a Moscou, enfrentando a resistência das forças de segurança russas. Putin denuncia a rebelião como uma traição à pátria e ordena uma resposta 'implacável'. A comunidade internacional condena a violência e pede o diálogo entre as partes envolvidas.",Política
Junho,"27 de junho — A morte do adolescente de origem argelina chamado Nahel M. depois de ser baleado pela polícia francesa em Nanterre, subúrbio a oeste de Paris, causa uma onda de protestos e tumultos em toda a nação europeia, tendo mais de 700 presos e 2.800 pessoas detidas.",Política
Junho,"30 de junho — O Tribunal Superior Eleitoral (TSE) condena o ex-presidente Jair Bolsonaro a 8 anos de inelegibilidade por abuso de poder político e uso indevido dos meios de comunicação durante um evento com embaixadores em julho de 2022, no qual atacou as urnas eletrônicas, sem provas, de que elas não seriam seguras. A decisão foi tomada por 5 votos a 2.",Política
Junho,"30 de junho — O Conselho de Segurança das Nações Unidas vota por unanimidade o fim da MINUSMA, a sua missão de manutenção da paz no Mali.",Política
Junho,"10 de junho — Morre, aos 81 anos, o ecoterrorista Theodore Kaczynski, conhecido como Unabomber.",Falecimentos e Nascimentos
Junho,"12 de junho — Morre, aos 86 anos, o ex-primeiro-ministro italiano e ex-dono do AC Milan Silvio Berlusconi.",Falecimentos e Nascimentos
Junho,"7 de junho — O West Ham é campeão da Liga Conferência Europa da UEFA de 2022–23 após vencer a Fiorentina por 2 a 1, conquistando seu primeiro título da competição. O jogo foi realizado no Estádio Sinobo, em Praga, na Chéquia.",Esporte
Junho,"10 de junho — O Manchester City é campeão da Liga dos Campeões da UEFA de 2022–23 após vencer a Internazionale por 1 a 0, conquistando de forma invicta seu primeiro título da competição. O jogo foi realizado no Estádio Olímpico Atatürk, em Istambul, na Turquia.",Esporte
Junho,"11 de junho — Realização da 23ª Copa do Mundo FIFA Sub-20 na Argentina (que seria originalmente sediada na Indonésia, que não aceitou a presença da Seleção Israelense), tendo como a seleção campeã o Uruguai.",Esporte
Junho,"2 de junho — Na Índia, pelo menos 288 pessoas morrem e mais de 1 000 ficaram feridas depois de dois comboios de passageiros terem descarrilado num acidente que incluiu uma colisão com um comboio de carga no distrito de Balasore, no estado indiano de Odisha.",Desastres
Junho,"15 de junho — Um barco com cerca de 700 imigrantes de diferentes nacionalidades naufraga no Mar Mediterrâneo, a 80 km da costa grega. A embarcação havia saído da Líbia com destino à Europa, mas enfrentou uma forte tempestade que provocou o afundamento. Apenas 104 pessoas foram resgatadas com vida pela Guarda Costeira grega, que iniciou uma operação de busca e salvamento. O naufrágio é considerado uma das maiores tragédias humanitárias envolvendo migrantes na história recente.",Desastres
Junho,"22 de junho — Confirma-se a implosão do submarino turístico da empresa OceanGate Expeditions, que realizava uma expedição ao naufrágio do Titanic, matando os 5 ocupantes a bordo. Entre as vítimas estão o explorador Hamish Harding, o magnata paquistanês Shahzada Dawood e seu filho Suleman, o oceanógrafo francês e especialista em Titanic Paul-Henri Nargeolet, e o fundador e CEO da OceanGate Stockton Rush.",Desastres
Junho,"6 de junho — Devido a fumaça dos incêndios florestais no Canadá, a cidade de Nova Iorque, nos Estados Unidos, foi declarada como tendo a pior qualidade do ar de todas as cidades do mundo.",Ecossistema
Junho,"28 de junho — Incêndios florestais no Canadá queimam mais de 77,9 mil km², sendo o número mais alto dos últimos 40 anos no país. Além disso, bateram o recorde de poluição, com 160 milhões de toneladas de carbono emitidas.",Ecossistema
Junho,"14 de junho — Cientistas relatam a criação do primeiro embrião humano sintético a partir de células-tronco, sem necessidade de espermatozoides ou óvulos.",Ciência e Tecnologia
Junho,"29 de junho — A empresa de turismo espacial Virgin Galactic completa seu primeiro voo comercial, com quatro passageiros italianos a bordo do avião espacial VSS Unity. A missão nomeada 'Galactic 01' também foi utilizada para realizar experimentos sobre microgravidade.",Ciência e Tecnologia
Julho,"2 de julho — No Afeganistão, o governo talibã decreta o encerramento total dos salões de beleza femininos, marcando mais um episódio negro para as mulheres no Afeganistão.",Política
Julho,"4 de julho — O Irã adere à Organização para Cooperação de Xangai, tornando-se o nono membro da organização.",Política
Julho,"8 de julho — Nos Países Baixos, a coligação governamental colapsa e o Primeiro-Ministro Mark Rutte anuncia a sua demissão.",Política
Julho,26 de julho — Abdourahamane Tchiani assume o controle da presidência do Níger após soldados da guarda presidencial do país retirarem do cargo o ex-presidente Mohamed Bazoum.,Política
Julho,"19 de julho — O Sevilla é campeão do Desafio de Clubes da UEFA–CONMEBOL de 2023 após vencer o Independiente del Valle por 4 a 1 nas penalidades, conquistando a primeira edição da competição. O jogo foi realizado Estádio Ramón Sánchez Pizjuán, em Sevilha, na Espanha.",Esporte
Julho,"20 de julho — Ocorre a Copa do Mundo de Futebol Feminino de 2023, realizado na Austrália e na Nova Zelândia e tendo como país vencedor a Espanha.",Esporte
Julho,"3 de julho — Soldados israelenses invadem Jenin, na Cisjordânia, matando pelo menos oito e ferindo mais de cinquenta.",Desastres
Julho,30 de julho — Singapura executa primeira mulher por tráfico de drogas em quase 20 anos.,Desastres
Julho,"30 de julho — Em Khar, no Paquistão, um ataque suicida deixou 63 mortos e mais de 200 feridos. O Estado Islâmico de Coraçone assumiu a responsabilidade pelo ataque.",Desastres
Julho,"23 de julho — Dezenas de milhares de turistas fogem de Rodes, na Grécia, em meio a incêndios florestais e uma grande onda de calor, no que as autoridades dizem ser a maior evacuação na história do país.",Ecossistema
Agosto,15 de agosto — Santiago Peña toma posse como presidente do Paraguai.,Política
Agosto,"24 de agosto — Durante a cúpula do BRICS realizada em Joanesburgo, na África do Sul, o presidente sul-africano Cyril Ramaphosa anunciou a entrada de mais seis membros (Argentina, Arábia Saudita, Egito, Emirados Árabes Unidos, Etiópia e Irã) ao grupo a partir de janeiro de 2024.",Política
Agosto,"30 de agosto — No Gabão, logo após as eleições presidenciais, militares promovem um golpe de Estado, destituindo o presidente reeleito Ali Bongo.",Política
Agosto,"9 de agosto — Fernando Villavicencio, candidato à presidência do Equador, é assassinado na saída de um comício em Quito.",Falecimentos e Nascimentos
Agosto,"2 de agosto — O Brasil é eliminado na Copa do Mundo de Futebol Feminino de 2023, após o empate contra a Jamaica.",Esporte
Agosto,"16 de agosto — O Manchester City é campeão da Supercopa da UEFA de 2023 após vencer o Sevilla por 5 a 4 nas penalidades, conquistando o seu primeiro título da competição. O jogo foi realizado no Estádio Karaiskakis, em Pireu, na Grécia.",Esporte
Agosto,"23 de agosto — O líder do Grupo Wagner, Yevgeny Prigozhin, o fundador Dmitry Utkin e mais oito pessoas morrem quando o avião em que viajavam caiu na Rússia.",Desastres
Agosto,"31 de agosto — Um incêndio atinge um edifício abandonado ocupado por moradores de rua em Joanesburgo, África do Sul, matando ao menos 77 pessoas.",Desastres
Agosto,"5 de agosto — Durante sua passagem no Sudeste Asiático, o supertufão Doksuri (chamado Egay nas Filipinas) provoca as chuvas mais fortes na China em 140 anos, deixando pelo menos 62 mortos no país e 39 mortos nas Filipinas.",Ecossistema
Agosto,"8 de agosto — 17 000 acres de terra são queimados e pelo menos 98 pessoas morrem, estando outras 31 desaparecidas, quando uma série de incêndios florestais deflagra na ilha de Maui, no Havaí.",Ecossistema
Agosto,15 de agosto — Apagão atinge 26 das 27 unidades federativas do Brasil.,Ecossistema
Agosto,"23 de agosto — A Chandrayaan-3 da Índia torna-se a primeira nave espacial a aterrar perto do polo sul da Lua, transportando um módulo de aterragem lunar chamado Vikram e um rover lunar chamado Pragyan.",Ciência e Tecnologia
Agosto,"1 à 6 de agosto — Acontece a XXXIII Jornada Mundial da Juventude em Lisboa, Portugal.",Turismo
Setembro,"9 de setembro — Na 18ª Cimeira do G20 em Nova Deli, a União Africana é anunciada como o 21º membro permanente do G20.",Política
Setembro,"13 de setembro — Começaram as buscas pelo brasileiro Danilo Cavalcante na Pensilvânia, Estados Unidos, onde fugiu de uma prisão de segurança máxima. Ele foi condenado a prisão perpétua no país acusado de matar a ex-namorada a facadas. O mesmo foi encontrado e recapturado duas semanas depois.",Política
Setembro,"19 de setembro — Conflito do Alto Carabaque: O Azerbaijão lança uma ofensiva militar contra a República de Artsaque, apoiada pela Armênia, que termina com uma rápida vitória do Azerbaijão.",Política
Setembro,"28 de setembro — Artsaque anuncia a dissolução das instituições governamentais e a sua futura dissolução em 1 de janeiro de 2024, na sequência de um decreto assinado pelo Presidente de Artsaque, Samvel Shahramanyan.",Política
Setembro,"12 de setembro — Taylor Swift ganha 9 troféus no MTV VMA 2023 e bate o recorde de vitórias em uma noite de premiação do evento, que antes pertencia a Lady Gaga.",Arte
Setembro,"28 de setembro — Morre, aos 82 anos, o ator Michael Gambon, segundo ator que interpretou o personagem Alvo Dumbledore nos filmes da saga Harry Potter.",Falecimentos e Nascimentos
Setembro,"1 de setembro — O piloto brasileiro Gabriel Bortoleto conquista o título da Fórmula 3, se tornando o primeiro brasileiro a ser campeão na Fórmula 3 que é uma das categorias de acesso à Fórmula 1.",Esporte
Setembro,9 de setembro — Filipe Toledo é bicampeão mundial de surfe na WSL e Brasil conquista seu 7º título mundial na história.,Esporte
Setembro,"10 de setembro — A Alemanha vence a Sérvia na final da Copa do Mundo de Basquete Masculino, disputada em Manila, Filipinas, e conquista o título inédito de forma invicta. O Canadá conquista seu primeiro pódio em uma Copa do Mundo.",Esporte
Setembro,"10 de setembro — Mundial de Basquete Masculino de 2023, que foi realizado pela primeira vez em três sedes diferentes, sendo elas Indonésia, Filipinas e Japão.",Esporte
Setembro,"24 de setembro — O São Paulo se torna campeão da Copa do Brasil de 2023 após vencer o Flamengo por 2 a 1 no placar agregado, conquistando seu primeiro título da competição. O jogo foi realizado no Estádio Cícero Pompeu de Toledo, também conhecido como Morumbi, na capital paulista, no Brasil.",Esporte
Setembro,"25 de setembro — Estima-se que 170 pessoas morreram e mais de 300 ficaram feridas durante uma explosão em um posto de gasolina em Estepanaquerte, Alto Carabaque.",Desastres
Setembro,4 de setembro — A passagem de um ciclone extratropical na região Sul causa muita destruição e deixa dezenas de mortos no Rio Grande do Sul. Autoridades consideram o evento o maior desastre natural no estado nos últimos 40 anos.,Ecossistema
Setembro,"8 de setembro — Um terremoto de magnitude de 6,8 na escala Richter atinge o Marrocos, deixando mais de 2 mil mortos e milhares de feridos.",Ecossistema
Setembro,10 de setembro — Enchentes provocadas pela Tempestade Daniel deixam mais de 5 mil mortos e 10 mil desaparecidos na Líbia.,Ecossistema
Setembro,"26 de setembro — Em Qaraqosh, Iraque, um forte incêndio foi registrado durante a celebração de um casamento, causando a morte de pelos menos 94 pessoas e deixando mais de 100 pessoas feridas.",Ecossistema
Setembro,"2 de setembro — A Organização Indiana de Pesquisa Espacial (ISRO) lança com sucesso Aditya-L1, a primeira missão de observação solar da Índia.",Ciência e Tecnologia
Outubro,"3 de outubro — Kevin McCarthy é destituído do cargo de Presidente da Câmara dos Representantes dos Estados Unidos, sendo a primeira vez em 234 anos que um presidente da Casa é deposto.",Política
